Suburb,Address,Rooms,Type,Price,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance
Moonee Ponds,26 Scotia St,2,h,760000,PI,3/06/2017,6.2,3039,2,1,0,251,110,1980,Moonee Valley City Council,-37.76856,144.90577,Western Metropolitan,6232,41,3027.888446,6909.090909,380000,122580.6452
Mount Waverley,1/577 High Street Rd,2,u,720000,S,3/06/2017,14.2,3149,2,1,1,198,,,Monash City Council,-37.87135,145.14334,Eastern Metropolitan,13366, ,3636.363636, ,360000,50704.22535
Mount Waverley,3/593 High Street Rd,2,u,572000,S,3/06/2017,14.2,3149,2,1,1,173,,1970,Monash City Council,-37.87142,145.14503,Eastern Metropolitan,13366,51,3306.358382, ,286000,40281.69014
Mount Waverley,7 Milliara St,3,h,1640000,PI,3/06/2017,14.2,3149,3,1,2,911,,,Monash City Council,-37.86906,145.14394,Eastern Metropolitan,13366, ,1800.219539, ,546666.6667,115492.9577
Mount Waverley,2/36 Swayfield Rd,3,t,1011000,S,3/06/2017,14.2,3149,3,2,2,297,135,2001,Monash City Council,-37.8605,145.12853,Eastern Metropolitan,13366,20,3404.040404,7488.888889,337000,71197.1831
Mount Waverley,309 Waverley Rd,5,h,1450000,S,3/06/2017,14.2,3149,5,2,2,728,,,Monash City Council,-37.88409,145.12369,Eastern Metropolitan,13366, ,1991.758242, ,290000,102112.6761
Mulgrave,2 Barclay Ct,3,h,880000,SA,3/06/2017,18.8,3170,3,2,2,705,,,Monash City Council,-37.92266,145.16733,South-Eastern Metropolitan,7113, ,1248.22695, ,293333.3333,46808.51064
Murrumbeena,13 Churchill Cl,3,h,1256000,S,3/06/2017,10.1,3163,3,2,2,335,,,Glen Eira City Council,-37.90423,145.06168,Southern Metropolitan,4442, ,3749.253731, ,418666.6667,124356.4356
Murrumbeena,8/9 Dunoon St,1,u,330000,S,3/06/2017,10.1,3163,1,1,1,0,,,Glen Eira City Council,-37.89166,145.06718,Southern Metropolitan,4442, , , ,330000,32673.26733
Murrumbeena,3/53 Kangaroo Rd,2,u,670000,PI,3/06/2017,10.1,3163,2,1,2,0,,,Glen Eira City Council,-37.89814,145.07455,Southern Metropolitan,4442, , , ,335000,66336.63366
Murrumbeena,1/1 Nangana Rd,2,u,602000,S,3/06/2017,10.1,3163,2,1,1,1166,,,Glen Eira City Council,-37.88674,145.07234,Southern Metropolitan,4442, ,516.2950257, ,301000,59603.9604
Niddrie,61 Nolan St,4,h,1337000,S,3/06/2017,10.4,3042,4,2,2,650,254,1955,Moonee Valley City Council,-37.74103,144.88496,Western Metropolitan,2291,66,2056.923077,5263.779528,334250,128557.6923
North Melbourne,22 Melrose St,2,h,970000,S,3/06/2017,1.8,3051,2,1,0,102,66,1900,Melbourne City Council,-37.79489,144.94207,Northern Metropolitan,6821,121,9509.803922,14696.9697,485000,538888.8889
Northcote,44 Bent St,3,h,1232000,S,3/06/2017,5.3,3070,3,1,1,352,,1900,Darebin City Council,-37.76708,144.99624,Northern Metropolitan,11364,121,3500, ,410666.6667,232452.8302
Nunawading,1A Thelma St,4,t,950000,VB,3/06/2017,15.4,3131,4,2,2,338,,,Manningham City Council,-37.81065,145.17309,Eastern Metropolitan,4973, ,2810.650888, ,237500,61688.31169
Oak Park,4/4 Ethel St,2,u,460000,S,3/06/2017,11.2,3046,2,1,1,106,,,Moreland City Council,-37.72326,144.91681,Northern Metropolitan,2651, ,4339.622642, ,230000,41071.42857
Oak Park,24 Vincent St,4,h,1138000,SA,3/06/2017,11.2,3046,4,2,2,697,189,1960,Moreland City Council,-37.72001,144.91683,Northern Metropolitan,2651,61,1632.711621,6021.164021,284500,101607.1429
Oakleigh,19 Westgate St,4,h,1410000,PI,3/06/2017,12.3,3166,4,2,2,568,,,Monash City Council,-37.9054,145.08669,Southern Metropolitan,3224, ,2482.394366, ,352500,114634.1463
Oakleigh,31 Westgate St,3,h,1245000,S,3/06/2017,12.3,3166,3,1,1,545,,,Monash City Council,-37.90626,145.08653,Southern Metropolitan,3224, ,2284.40367, ,415000,101219.5122
Oakleigh East,41 Clayton Rd,2,h,1114000,S,3/06/2017,12.3,3166,2,1,1,703,90,1960,Monash City Council,-37.90241,145.12378,Southern Metropolitan,2547,61,1584.637269,12377.77778,557000,90569.10569
Oakleigh East,3/1 Inga St,3,u,740000,S,3/06/2017,12.3,3166,3,1,1,211,90,2004,Monash City Council,-37.89941,145.11523,Southern Metropolitan,2547,17,3507.109005,8222.222222,246666.6667,60162.60163
Ormond,8/17 Arnott St,1,u,280000,SP,3/06/2017,11.4,3204,1,1,1,821,33,1975,Glen Eira City Council,-37.90296,145.04637,Southern Metropolitan,3578,46,341.047503,8484.848485,280000,24561.40351
Ormond,301/437 North Rd,2,u,485000,SP,3/06/2017,11.4,3204,2,1,1,0,72,2012,Glen Eira City Council,-37.90335,145.03718,Southern Metropolitan,3578,9, ,6736.111111,242500,42543.85965
Parkville,401/228 The Avenue,3,u,1770000,S,3/06/2017,1.8,3052,3,2,1,2431,70,1999,Melbourne City Council,-37.78212,144.95755,Northern Metropolitan,2309,22,728.095434,25285.71429,590000,983333.3333
Pascoe Vale,41 Essex St,3,u,630000,S,3/06/2017,8.5,3044,3,1,1,365,,,Moreland City Council,-37.72737,144.94593,Northern Metropolitan,7485, ,1726.027397, ,210000,74117.64706
Port Melbourne,120/1 Graham St,3,u,1725000,PI,3/06/2017,3.5,3207,3,2,2,0,189,2000,Melbourne City Council,-37.8429,144.94487,Southern Metropolitan,8648,21, ,9126.984127,575000,492857.1429
Port Melbourne,410 Graham St,3,h,1325000,PI,3/06/2017,3.5,3207,3,2,2,133,,,Melbourne City Council,-37.83522,144.93471,Southern Metropolitan,8648, ,9962.406015, ,441666.6667,378571.4286
Port Melbourne,202/2 Rouse St,2,u,625000,S,3/06/2017,3.5,3207,2,1,1,6830,,,Melbourne City Council,-37.84432,144.94372,Southern Metropolitan,8648, ,91.50805271, ,312500,178571.4286
Port Melbourne,409/216 Rouse St,2,u,665000,SP,3/06/2017,3.5,3207,2,2,1,1472,81,2010,Melbourne City Council,-37.84096,144.93791,Southern Metropolitan,8648,11,451.7663043,8209.876543,332500,190000
Prahran,22 Abeckett St,3,h,1810000,PI,3/06/2017,4.6,3181,,,,,,,Stonnington City Council,-37.85136,145.00925,Southern Metropolitan,7717, , , ,#DIV/0!,393478.2609
Prahran,37 Charles St,3,h,1400000,VB,3/06/2017,4.6,3181,3,2,0,145,138,1880,Stonnington City Council,-37.84957,144.9889,Southern Metropolitan,7717,141,9655.172414,10144.92754,466666.6667,304347.8261
Preston,129 Albert St,3,h,850000,SP,3/06/2017,8.4,3072,3,1,2,485,,,Darebin City Council,-37.7383,145.02349,Northern Metropolitan,14577, ,1752.57732, ,283333.3333,101190.4762
Preston,1 Bellarine St,5,h,1400000,PI,3/06/2017,8.4,3072,5,2,2,558,217,1925,Darebin City Council,-37.73472,144.99658,Northern Metropolitan,14577,96,2508.960573,6451.612903,280000,166666.6667
Preston,34 Grange St,3,h,930000,S,3/06/2017,8.4,3072,3,1,0,357,,,Darebin City Council,-37.7377,144.98781,Northern Metropolitan,14577, ,2605.042017, ,310000,110714.2857
Preston,121 Murray Rd,4,h,830000,PI,3/06/2017,8.4,3072,4,1,2,540,540,1965,Darebin City Council,-37.73935,145.01517,Northern Metropolitan,14577,56,1537.037037,1537.037037,207500,98809.52381
Preston,145 Murray Rd,3,h,881000,S,3/06/2017,8.4,3072,3,1,2,470,115,1930,Darebin City Council,-37.73912,145.01298,Northern Metropolitan,14577,91,1874.468085,7660.869565,293666.6667,104880.9524
Preston,2/7 Oak St,3,u,660000,S,3/06/2017,8.4,3072,3,1,1,234,,1995,Darebin City Council,-37.73506,145.03169,Northern Metropolitan,14577,26,2820.512821, ,220000,78571.42857
Preston,202 Raglan St,3,h,945000,S,3/06/2017,8.4,3072,3,1,2,349,120,1940,Darebin City Council,-37.74946,145.00875,Northern Metropolitan,14577,81,2707.73639,7875,315000,112500
Preston,8 Scotia St,3,h,1210000,S,3/06/2017,8.4,3072,3,2,2,515,126,1920,Darebin City Council,-37.74794,144.99111,Northern Metropolitan,14577,101,2349.514563,9603.174603,403333.3333,144047.619
Preston,34 Showers St,3,h,970000,S,3/06/2017,8.4,3072,3,1,1,345,,1950,Darebin City Council,-37.74818,144.99825,Northern Metropolitan,14577,71,2811.594203, ,323333.3333,115476.1905
Preston,3/26 Tyler St,2,u,465000,PI,3/06/2017,8.4,3072,2,1,1,163,169,,Darebin City Council,-37.73311,145.03552,Northern Metropolitan,14577, ,2852.760736,2751.47929,232500,55357.14286
Preston,42 Tyler St,3,h,725000,S,3/06/2017,8.4,3072,3,1,2,590,94,1950,Darebin City Council,-37.73314,145.03437,Northern Metropolitan,14577,71,1228.813559,7712.765957,241666.6667,86309.52381
Preston,49 Wallace St,3,h,990000,S,3/06/2017,8.4,3072,3,1,1,545,,,Darebin City Council,-37.74258,144.99309,Northern Metropolitan,14577, ,1816.513761, ,330000,117857.1429
Preston,39 William St,3,h,972500,S,3/06/2017,8.4,3072,3,1,1,448,103,1930,Darebin City Council,-37.73443,145.00201,Northern Metropolitan,14577,91,2170.758929,9441.747573,324166.6667,115773.8095
Preston,26A Young St,3,h,955000,S,3/06/2017,8.4,3072,3,1,1,263,123,2000,Darebin City Council,-37.74739,145.00934,Northern Metropolitan,14577,21,3631.178707,7764.227642,318333.3333,113690.4762
Princes Hill,109 McIlwraith St,3,h,1900000,PI,3/06/2017,3.5,3054,3,1,0,204,194,1910,Yarra City Council,-37.78251,144.96817,Northern Metropolitan,1008,111,9313.72549,9793.814433,633333.3333,542857.1429
Reservoir,13 Crispe St,4,h,1100000,S,3/06/2017,12,3073,4,2,2,665,,,Darebin City Council,-37.72787,144.99423,Northern Metropolitan,21650, ,1654.135338, ,275000,91666.66667
Reservoir,5 Edgar St,5,h,1266000,S,3/06/2017,12,3073,5,2,2,601,,1990,Darebin City Council,-37.7296,145.00714,Northern Metropolitan,21650,31,2106.489185, ,253200,105500
Reservoir,9 Frankston St,3,h,1040000,S,3/06/2017,12,3073,3,2,1,461,,,Darebin City Council,-37.72499,145.00038,Northern Metropolitan,21650, ,2255.965293, ,346666.6667,86666.66667
Reservoir,81 McMahon Rd,2,h,888000,S,3/06/2017,12,3073,2,1,2,649,,,Darebin City Council,-37.71086,145.01629,Northern Metropolitan,21650, ,1368.25886, ,444000,74000
Reservoir,2/33 Oconnor St,2,t,521000,S,3/06/2017,12,3073,2,1,1,0,94,2009,Darebin City Council,-37.7106,145.00177,Northern Metropolitan,21650,12, ,5542.553191,260500,43416.66667
Reservoir,76 Powell St,3,h,857700,SP,3/06/2017,12,3073,3,1,1,325,116,1930,Darebin City Council,-37.72589,144.99681,Northern Metropolitan,21650,91,2639.076923,7393.965517,285900,71475
Reservoir,2/4 Pratt St,3,t,642500,S,3/06/2017,12,3073,3,2,2,160,140,2010,Darebin City Council,-37.71064,145.01067,Northern Metropolitan,21650,11,4015.625,4589.285714,214166.6667,53541.66667
Richmond,7 Benson St,3,h,1676000,S,3/06/2017,2.4,3121,3,1,1,294,,,Yarra City Council,-37.8239,145.0022,Northern Metropolitan,14949, ,5700.680272, ,558666.6667,698333.3333
Richmond,27 Charlotte St,4,h,1400000,S,3/06/2017,2.4,3121,4,1,0,244,,,Yarra City Council,-37.82503,144.99967,Northern Metropolitan,14949, ,5737.704918, ,350000,583333.3333
Richmond,22 Glass St,3,h,1301000,S,3/06/2017,2.4,3121,3,1,1,163,,1990,Yarra City Council,-37.82434,145.00489,Northern Metropolitan,14949,31,7981.595092, ,433666.6667,542083.3333
Richmond,5/202 Lennox St,2,u,575000,S,3/06/2017,2.4,3121,2,1,1,407,66,1960,Yarra City Council,-37.82046,144.99398,Northern Metropolitan,14949,61,1412.776413,8712.121212,287500,239583.3333
Ringwood,2/27 Georges Rd,3,u,766000,SP,3/06/2017,19.9,3134,3,1,2,327,,,Maroondah City Council,-37.80905,145.23534,Eastern Metropolitan,7785, ,2342.507645, ,255333.3333,38492.46231
Ringwood East,8 Marwarra St,4,h,910000,S,3/06/2017,21.3,3135,4,1,2,669,179,1965,Maroondah City Council,-37.81656,145.24247,Eastern Metropolitan,4407,56,1360.239163,5083.798883,227500,42723.00469
Ringwood East,6 Victoria St,4,h,1200000,S,3/06/2017,21.3,3135,4,1,1,833,151,1960,Maroondah City Council,-37.81186,145.25419,Eastern Metropolitan,4407,61,1440.57623,7947.019868,300000,56338.02817
Rowville,240 Dandelion Dr,3,h,622000,S,3/06/2017,23.5,3178,3,1,1,372,,,Knox City Council,-37.91655,145.26933,South-Eastern Metropolitan,11667, ,1672.043011, ,207333.3333,26468.08511
Sandringham,131 Bay Rd,4,t,2300000,S,3/06/2017,15.2,3191,4,2,2,604,166,1940,Bayside City Council,-37.95326,145.01779,Southern Metropolitan,4497,81,3807.94702,13855.42169,575000,151315.7895
Sandringham,34 Brighton St,3,h,1710000,SP,3/06/2017,15.2,3191,3,2,0,398,150,1920,Bayside City Council,-37.94785,145.01467,Southern Metropolitan,4497,101,4296.482412,11400,570000,112500
Sandringham,5 Tennyson St,4,t,2221000,S,3/06/2017,15.2,3191,4,2,2,381,235,2000,Bayside City Council,-37.95372,145.00608,Southern Metropolitan,4497,21,5829.396325,9451.06383,555250,146118.4211
Seabrook,21 Catherine Rd,3,h,515000,SP,3/06/2017,15.5,3028,3,1,2,531,98,1985,Hobsons Bay City Council,-37.87793,144.75626,Western Metropolitan,1793,36,969.8681733,5255.102041,171666.6667,33225.80645
Seaholme,26 Sussex St,3,h,1360000,S,3/06/2017,11,3018,3,2,6,663,127.8,1970,Hobsons Bay City Council,-37.8642,144.84257,Western Metropolitan,852,51,2051.282051,10641.62754,453333.3333,123636.3636
Seddon,17 Tennyson St,3,h,1180000,SP,3/06/2017,5.1,3011,3,1,0,198,124,1910,Maribyrnong City Council,-37.80779,144.88887,Western Metropolitan,2417,111,5959.59596,9516.129032,393333.3333,231372.549
South Kingsville,76 Saltley St,3,h,790000,S,3/06/2017,6.2,3015,3,2,2,334,129,2003,Hobsons Bay City Council,-37.83137,144.86731,Western Metropolitan,984,18,2365.269461,6124.031008,263333.3333,127419.3548
South Melbourne,305/196 Albert Rd,2,u,805000,S,3/06/2017,1.9,3205,2,2,2,0,,,Port Phillip City Council,-37.83715,144.96717,Southern Metropolitan,5943, , , ,402500,423684.2105
South Melbourne,1211/50 Albert Rd,2,u,530000,VB,3/06/2017,1.9,3205,2,1,1,1646,52,2012,Port Phillip City Council,-37.83406,144.97131,Southern Metropolitan,5943,9,321.9927096,10192.30769,265000,278947.3684
South Yarra,104/2 Cromwell Rd,2,u,800000,SP,3/06/2017,2.7,3141,2,2,1,0,73,2014,Melbourne City Council,-37.84712,144.99967,Southern Metropolitan,14887,7, ,10958.90411,400000,296296.2963
South Yarra,78 Hope St,2,h,2210000,S,3/06/2017,2.7,3141,2,2,1,187,133,1890,Melbourne City Council,-37.83554,144.97956,Southern Metropolitan,14887,131,11818.18182,16616.54135,1105000,818518.5185
South Yarra,4 Palfreyman St,3,h,1400000,SP,3/06/2017,2.7,3141,3,1,1,136,132,1993,Melbourne City Council,-37.84497,144.99781,Southern Metropolitan,14887,28,10294.11765,10606.06061,466666.6667,518518.5185
South Yarra,3/7 Rockley Rd,3,u,805000,S,3/06/2017,2.7,3141,3,1,1,0,,1970,Melbourne City Council,-37.83849,144.99948,Southern Metropolitan,14887,51, , ,268333.3333,298148.1481
South Yarra,3/44 Walsh St,3,u,2400000,VB,3/06/2017,2.7,3141,3,2,1,0,,1940,Melbourne City Council,-37.8369,144.98514,Southern Metropolitan,14887,81, , ,800000,888888.8889
South Yarra,7/215 Williams Rd,2,u,535000,SP,3/06/2017,2.7,3141,0,1,1,0,63,1970,Melbourne City Council,-37.84468,145.00368,Southern Metropolitan,14887,51, ,8492.063492,#DIV/0!,198148.1481
Southbank,512/22 Dorcas St,1,u,422000,S,3/06/2017,0.7,3006,1,1,1,63,51,2010,Melbourne City Council,-37.83014,144.96967,Southern Metropolitan,8400,11,6698.412698,8274.509804,422000,602857.1429
Southbank,2605/63 Whiteman St,2,u,590000,PI,3/06/2017,0.7,3006,2,2,1,0,,2009,Melbourne City Council,-37.82586,144.957,Southern Metropolitan,8400,12, , ,295000,842857.1429
St Kilda,1/19 Robe St,2,u,586500,S,3/06/2017,5,3182,2,1,1,3093,,,Port Phillip City Council,-37.86506,144.97777,Southern Metropolitan,13240, ,189.6217265, ,293250,117300
St Kilda,24/62 Wellington St,1,u,451000,S,3/06/2017,5,3182,1,1,1,0,,,Port Phillip City Council,-37.85705,144.98699,Southern Metropolitan,13240, , , ,451000,90200
Strathmore,2 Henshall Rd,5,h,1780000,S,3/06/2017,8.2,3041,5,3,6,699,,,Moonee Valley City Council,-37.7377,144.91896,Western Metropolitan,3284, ,2546.494993, ,356000,217073.1707
Strathmore,77 Hillsyde Pde,2,h,790000,S,3/06/2017,8.2,3041,2,2,1,213,120,1990,Moonee Valley City Council,-37.73519,144.92374,Western Metropolitan,3284,31,3708.920188,6583.333333,395000,96341.46341
Sunshine,2 McKay St,3,h,775000,S,3/06/2017,10.5,3020,3,2,3,540,,,Brimbank City Council,-37.79067,144.83804,Western Metropolitan,3755, ,1435.185185, ,258333.3333,73809.52381
Sunshine North,32 Essex St,3,h,690500,S,3/06/2017,10.5,3020,3,1,0,637,,,Brimbank City Council,-37.7756,144.84235,Western Metropolitan,4217, ,1083.987441, ,230166.6667,65761.90476
Sunshine West,7 Fairbairn Rd,3,h,520000,SP,3/06/2017,10.5,3020,3,2,2,535,,,Brimbank City Council,-37.79414,144.81855,Western Metropolitan,6763, ,971.9626168, ,173333.3333,49523.80952
Taylors Lakes,527 Kings Rd,3,h,790500,S,3/06/2017,15.5,3038,3,2,2,808,,,Brimbank City Council,-37.6943,144.78187,Western Metropolitan,5336, ,978.3415842, ,263500,51000
Taylors Lakes,11 Pacific Pl,3,h,695000,SP,3/06/2017,15.5,3038,3,2,2,665,,1990,Brimbank City Council,-37.69408,144.77861,Western Metropolitan,5336,31,1045.112782, ,231666.6667,44838.70968
Taylors Lakes,3 Roper Ct,5,h,805000,S,3/06/2017,15.5,3038,5,2,2,705,,,Brimbank City Council,-37.69403,144.79418,Western Metropolitan,5336, ,1141.843972, ,161000,51935.48387
Templestowe,53 Milne St,3,h,1350000,S,3/06/2017,15.5,3106,3,2,2,809,188,1975,Manningham City Council,-37.75289,145.12826,Eastern Metropolitan,6202,46,1668.726823,7180.851064,450000,87096.77419
Templestowe Lower,1/285 Thompsons Rd,4,t,1010000,S,3/06/2017,12.4,3107,4,3,2,332,198,2013,Manningham City Council,-37.76577,145.10729,Eastern Metropolitan,5420,8,3042.168675,5101.010101,252500,81451.6129
Thornbury,6/10 Dundas St,2,u,493000,S,3/06/2017,7,3071,2,1,1,0,65,1970,Darebin City Council,-37.75257,145.00279,Northern Metropolitan,8870,51, ,7584.615385,246500,70428.57143
Thornbury,150 Gooch St,3,h,1240000,S,3/06/2017,7,3071,3,1,1,435,,,Darebin City Council,-37.75915,145.01043,Northern Metropolitan,8870, ,2850.574713, ,413333.3333,177142.8571
Thornbury,3 Gooch St,2,h,1010000,PI,3/06/2017,7,3071,2,1,0,245,,,Darebin City Council,-37.75789,145.00136,Northern Metropolitan,8870, ,4122.44898, ,505000,144285.7143
Thornbury,53 Keon St,4,h,1626000,S,3/06/2017,7,3071,4,1,2,495,120,1925,Darebin City Council,-37.75231,144.99023,Northern Metropolitan,8870,96,3284.848485,13550,406500,232285.7143
Toorak,1/36 Grange Rd,1,u,550000,PI,3/06/2017,4.1,3142,1,1,1,0,64,1965,Stonnington City Council,-37.83732,145.01164,Southern Metropolitan,7217,56, ,8593.75,550000,134146.3415
Toorak,3/14 Martin Ct,3,u,2000000,VB,3/06/2017,4.1,3142,3,2,2,0,,,Stonnington City Council,-37.84212,145.01346,Southern Metropolitan,7217, , , ,666666.6667,487804.878
Toorak,19/740 Orrong Rd,2,u,751000,SP,3/06/2017,4.1,3142,2,1,1,2076,,,Stonnington City Council,-37.83872,145.01452,Southern Metropolitan,7217, ,361.7533719, ,375500,183170.7317
Toorak,2/641 Toorak Rd,2,u,682000,S,3/06/2017,4.1,3142,2,1,1,713,60,1975,Stonnington City Council,-37.84301,145.02641,Southern Metropolitan,7217,46,956.5217391,11366.66667,341000,166341.4634
Tullamarine,8/366 Melrose Dr,2,t,355000,S,3/06/2017,12.9,3043,2,1,1,108,,,Brimbank City Council,-37.68837,144.87122,Western Metropolitan,3296, ,3287.037037, ,177500,27519.37984
Vermont,1 Bahama Ct,4,h,1270000,S,3/06/2017,17.2,3133,4,2,2,600,,,Maroondah City Council,-37.83944,145.18641,Eastern Metropolitan,4181, ,2116.666667, ,317500,73837.2093
Vermont,2/557 Canterbury Rd,4,t,975000,S,3/06/2017,17.2,3133,4,2,2,0,207,2008,Maroondah City Council,-37.83368,145.20409,Eastern Metropolitan,4181,13, ,4710.144928,243750,56686.04651
Vermont,2/660 Canterbury Rd,3,t,820000,SP,3/06/2017,17.2,3133,3,2,2,277,125,2016,Maroondah City Council,-37.83581,145.19802,Eastern Metropolitan,4181,5,2960.288809,6560,273333.3333,47674.4186
Vermont South,2/585 Burwood Hwy,3,u,750000,SP,3/06/2017,17.2,3133,3,2,1,302,,,Whitehorse City Council,-37.85732,145.19195,Eastern Metropolitan,4280, ,2483.443709, ,250000,43604.65116
Wantirna,6 Magnolia St,2,h,1280000,SP,3/06/2017,14.7,3152,2,1,0,1670,,,Knox City Council,-37.839,145.22143,Eastern Metropolitan,5424, ,766.4670659, ,640000,87074.82993
Warrandyte,44 Webb St,3,h,1200000,S,3/06/2017,21.1,3113,3,1,0,2978,,,Manningham City Council,-37.74135,145.22405,Eastern Metropolitan,2003, ,402.9550034, ,400000,56872.03791
West Footscray,6 Argyle St,3,h,1155000,PI,3/06/2017,6.4,3012,3,2,1,342,123,1920,Maribyrnong City Council,-37.79369,144.87511,Western Metropolitan,5058,101,3377.192982,9390.243902,385000,180468.75
West Footscray,8/102 Cross St,2,u,480000,SP,3/06/2017,6.4,3012,2,1,1,1157,,,Maribyrnong City Council,-37.80029,144.87859,Western Metropolitan,5058, ,414.8660328, ,240000,75000
West Footscray,22 Hope St,3,h,1100000,S,3/06/2017,6.4,3012,3,2,3,380,106.4,1945,Maribyrnong City Council,-37.79194,144.87144,Western Metropolitan,5058,76,2894.736842,10338.34586,366666.6667,171875
West Melbourne,2/30 Dudley St,2,u,792000,S,3/06/2017,3.1,3003,2,1,1,0,,,Melbourne City Council,-37.80823,144.95452,Northern Metropolitan,2230, , , ,396000,255483.871
Wheelers Hill,87 Chancellor Dr,4,h,1171000,S,3/06/2017,16.7,3150,4,2,3,800,163,1968,Monash City Council,-37.92024,145.18049,South-Eastern Metropolitan,7392,53,1463.75,7184.04908,292750,70119.76048
Wheelers Hill,16 Jacaranda Rd,3,h,1408000,S,3/06/2017,16.7,3150,3,2,1,658,,,Monash City Council,-37.90618,145.16995,South-Eastern Metropolitan,7392, ,2139.817629, ,469333.3333,84311.37725
Williamstown,3 Garden St,3,h,1494000,S,3/06/2017,6.8,3016,3,1,0,333,,,Hobsons Bay City Council,-37.8649,144.89524,Western Metropolitan,6380, ,4486.486486, ,498000,219705.8824
Williamstown,60 Hannan St,5,h,2760000,S,3/06/2017,6.8,3016,5,2,2,646,,,Hobsons Bay City Council,-37.86253,144.88748,Western Metropolitan,6380, ,4272.44582, ,552000,405882.3529
Williamstown,4 Long St,3,h,1285000,S,3/06/2017,6.8,3016,3,2,3,448,,,Hobsons Bay City Council,-37.86148,144.88303,Western Metropolitan,6380, ,2868.303571, ,428333.3333,188970.5882
Williamstown,10 Mullins Ct,4,h,1900000,S,3/06/2017,6.8,3016,4,2,1,448,311,1998,Hobsons Bay City Council,-37.86409,144.88224,Western Metropolitan,6380,23,4241.071429,6109.324759,475000,279411.7647
Williamstown,8 Pearson St,3,h,950000,S,3/06/2017,6.8,3016,3,1,0,169,,,Hobsons Bay City Council,-37.8561,144.90028,Western Metropolitan,6380, ,5621.301775, ,316666.6667,139705.8824
Yarraville,89 Ballarat St,2,h,950000,S,3/06/2017,6.3,3013,2,1,0,150,79,1900,Maribyrnong City Council,-37.81956,144.89054,Western Metropolitan,6543,121,6333.333333,12025.31646,475000,150793.6508
Yarraville,24 Goulburn St,3,h,1225000,S,3/06/2017,6.3,3013,3,1,0,230,,,Maribyrnong City Council,-37.81493,144.88974,Western Metropolitan,6543, ,5326.086957, ,408333.3333,194444.4444
Abbotsford,5/29 Church St,2,u,480000,S,17/06/2017,3,3067,2,1,1,601,64,1970,Yarra City Council,-37.80915,145.00066,Northern Metropolitan,4019,51,798.6688852,7500,240000,160000
Abbotsford,14/205 Gipps St,2,u,750000,SP,17/06/2017,3,3067,2,1,1,2379,69,2013,Yarra City Council,-37.80554,144.99612,Northern Metropolitan,4019,8,315.258512,10869.56522,375000,250000
Airport West,18A Hart St,3,t,730000,S,17/06/2017,10.4,3042,3,1,2,242,124,2010,Moonee Valley City Council,-37.72893,144.88859,Western Metropolitan,3464,11,3016.528926,5887.096774,243333.3333,70192.30769
Albion,3 Merlow St,4,h,820000,S,17/06/2017,10.5,3020,4,2,1,604,127,1950,Brimbank City Council,-37.77967,144.81275,Western Metropolitan,2185,71,1357.615894,6456.692913,205000,78095.2381
Alphington,38 Grange Rd,3,h,1650000,VB,17/06/2017,5.7,3078,3,1,2,827,,,Darebin City Council,-37.77824,145.02541,Northern Metropolitan,2211, ,1995.163241, ,550000,289473.6842
Alphington,30 Shiers St,4,h,2750000,VB,17/06/2017,5.7,3078,4,3,4,597,,,Darebin City Council,-37.7727,145.03079,Northern Metropolitan,2211, ,4606.365159, ,687500,482456.1404
Altona,21 Harrington St,3,h,853000,S,17/06/2017,11,3018,3,1,1,600,,,Hobsons Bay City Council,-37.86494,144.8157,Western Metropolitan,5301, ,1421.666667, ,284333.3333,77545.45455
Altona,2/10 McAlpine Ct,3,u,670000,S,17/06/2017,11,3018,3,2,1,284,88,1988,Hobsons Bay City Council,-37.86066,144.82013,Western Metropolitan,5301,33,2359.15493,7613.636364,223333.3333,60909.09091
Altona,1/20 Mulga St,3,t,765000,S,17/06/2017,11,3018,3,2,2,200,139,2007,Hobsons Bay City Council,-37.86837,144.81502,Western Metropolitan,5301,14,3825,5503.597122,255000,69545.45455
Altona Meadows,11 Gaskell Ct,3,h,820000,SP,17/06/2017,15.5,3028,3,2,2,530,,,Hobsons Bay City Council,-37.88893,144.7866,Western Metropolitan,7630, ,1547.169811, ,273333.3333,52903.22581
Altona North,242 Mason St,3,h,870000,S,17/06/2017,9.4,3025,3,1,4,559,560,1950,Hobsons Bay City Council,-37.8399,144.86228,Western Metropolitan,5132,71,1556.350626,1553.571429,290000,92553.19149
Armadale,4/379 Dandenong Rd,2,u,595000,S,17/06/2017,6.3,3143,2,1,1,0,,,Stonnington City Council,-37.86048,145.01498,Southern Metropolitan,4836, , , ,297500,94444.44444
Armadale,504 Orrong Rd,4,h,3200000,VB,17/06/2017,6.3,3143,4,4,2,847,285,1935,Stonnington City Council,-37.85938,145.01087,Southern Metropolitan,4836,86,3778.040142,11228.07018,800000,507936.5079
Armadale,15 Rose St,2,h,1550000,S,17/06/2017,6.3,3143,2,1,0,212,,,Stonnington City Council,-37.85068,145.01579,Southern Metropolitan,4836, ,7311.320755, ,775000,246031.746
